No.,NT,THT,THQCr,CT,QmT,TT,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,Fatigue
72,845,845,24,30,30,650,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,1
182,870,855,8,30,30,550,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,4
186,870,855,8,30,30,550,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,4
391,930,30,0,930,60,160,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18,4
261,870,845,8,30,30,600,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,2
437,930,30,0,930,60,200,0.5,0.18,0.25,0.79,0.016,0.015,0.07,1.08,0.08,0.15,4
435,930,30,0,930,60,200,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17,4
104,825,825,24,30,30,650,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,2
365,870,845,8,30,30,630,24,0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,3
288,900,845,8,30,30,550,24,0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,3
251,870,845,8,30,30,550,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,2
129,870,855,8,30,30,600,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,3
169,870,855,8,30,30,650,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,2
160,870,855,8,30,30,600,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,3
17,865,865,24,30,30,550,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,2
126,870,855,8,30,30,600,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,3
180,870,855,8,30,30,550,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,4
25,865,865,24,30,30,600,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1
426,930,30,0,930,60,160,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17,4
236,870,845,8,30,30,600,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,2
401,930,30,0,930,60,200,0.5,0.17,0.28,0.55,0.002,0.016,1.64,0.45,0.05,0.16,4
371,870,845,8,30,30,680,24,0.49,0.29,0.69,0.014,0.011,1.8,0.77,0.07,0,2
241,870,845,8,30,30,650,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,2
146,870,855,8,30,30,550,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,3
360,870,845,8,30,30,630,24,0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,3
80,845,845,24,30,30,650,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1
30,865,865,24,30,30,600,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,2
16,865,865,24,30,30,550,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,2
87,825,825,24,30,30,550,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,3
394,930,30,0,930,60,160,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18,4
113,825,825,24,30,30,650,24,0.54,0.27,0.7,0.017,0.02,0.06,0.1,0.22,0,2
7,885,30,0,30,30,30,0,0.28,0.27,0.5,0.021,0.018,0.02,0.03,0.01,0,1
162,870,855,8,30,30,600,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,3
168,870,855,8,30,30,650,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,2
42,865,865,24,30,30,650,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1
362,870,845,8,30,30,630,24,0.44,0.25,0.74,0.01,0.009,1.74,0.79,0.09,0,3
233,870,845,8,30,30,600,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,2
265,870,845,8,30,30,600,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,2
432,930,30,0,930,140,160,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17,4
225,870,845,8,30,30,550,24,0.39,0.22,1.57,0.017,0.018,0.05,0.13,0.06,0,2
107,825,825,24,30,30,650,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,2
310,900,845,8,30,30,650,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,2
163,870,855,8,30,30,600,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,3
63,845,845,24,30,30,600,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,2
8,885,30,0,30,30,30,0,0.27,0.25,0.54,0.02,0.021,0.01,0.02,0.02,0,1
31,865,865,24,30,30,600,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1
281,870,845,8,30,30,650,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,1
273,870,845,8,30,30,650,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,2
137,870,855,8,30,30,650,24,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,2
77,845,845,24,30,30,650,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1
272,870,845,8,30,30,650,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,2
152,870,855,8,30,30,600,24,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,3
18,865,865,24,30,30,550,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,2
201,870,855,8,30,30,600,24,0.39,0.28,0.77,0.021,0.018,0.09,1.08,0.15,0.19,3
224,870,855,8,30,30,650,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,3
284,900,845,8,30,30,550,24,0.32,0.29,0.54,0.018,0.004,2.64,0.75,0.05,0,3
40,865,865,24,30,30,650,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,1
389,845,845,8,30,30,500,24,0.53,1.5,0.67,0.014,0.011,0.13,0.67,0.26,0.05,4
257,870,845,8,30,30,550,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,2
199,870,855,8,30,30,600,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,3
218,870,855,8,30,30,650,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,3
274,870,845,8,30,30,650,24,0.42,0.21,1.51,0.026,0.019,0.02,0.12,0.01,0,2
423,930,30,0,930,60,200,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03,4
298,900,845,8,30,30,600,24,0.28,0.27,0.53,0.019,0.009,2.67,0.87,0.05,0,3
422,930,30,0,930,140,160,0.5,0.19,0.21,0.77,0.017,0.011,0.12,1.02,0.16,0.05,4
381,845,845,8,30,30,490,24,0.61,0.28,0.87,0.019,0.02,0.08,0.87,0.2,0.05,4
367,870,845,8,30,30,680,24,0.47,0.19,0.76,0.013,0.013,1.67,0.71,0.06,0,2
141,870,855,8,30,30,550,24,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,3
14,865,865,24,30,30,550,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,2
249,870,845,8,30,30,550,24,0.42,0.24,1.58,0.014,0.022,0.06,0.17,0.07,0,2
177,870,855,8,30,30,650,24,0.37,0.29,0.76,0.017,0.009,0.12,1.01,0.12,0.16,2
147,870,855,8,30,30,550,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,3
96,825,825,24,30,30,600,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,2
358,870,845,8,30,30,580,24,0.48,0.2,0.7,0.01,0.016,1.66,0.73,0.11,0,4
11,885,30,0,30,30,30,0,0.23,0.26,0.51,0.029,0.024,0.01,0.03,0.03,0,1
153,870,855,8,30,30,600,24,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,3
351,870,845,8,30,30,680,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,2
84,825,825,24,30,30,550,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,3
350,870,845,8,30,30,680,24,0.38,0.29,0.7,0.012,0.008,1.75,0.74,0.07,0.19,2
396,930,30,0,930,140,160,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21,4
268,870,845,8,30,30,600,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,2
235,870,845,8,30,30,600,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,2
70,845,845,24,30,30,650,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,2
382,845,845,8,30,30,490,24,0.63,0.17,0.77,0.026,0.014,0.03,0.81,0.02,0.01,4
62,845,845,24,30,30,600,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,2
282,900,845,8,30,30,550,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,3
270,870,845,8,30,30,650,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,2
372,845,845,8,30,30,430,24,0.6,1.96,0.85,0.019,0.004,0.05,0.15,0.12,0,4
397,930,30,0,930,140,160,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18,4
116,870,855,8,30,30,550,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,3
93,825,825,24,30,30,600,24,0.54,0.26,0.76,0.022,0.021,0.02,0.12,0.01,0,2
395,930,30,0,930,60,160,0.5,0.17,0.28,0.55,0.002,0.016,1.64,0.45,0.05,0.16,4
226,870,845,8,30,30,550,24,0.38,0.27,1.52,0.012,0.007,0.03,0.13,0.07,0,2
348,870,845,8,30,30,680,24,0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,2
287,900,845,8,30,30,550,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,3
427,930,30,0,930,60,160,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15,4
323,870,845,8,30,30,580,24,0.42,0.3,0.78,0.016,0.004,1.9,0.86,0.04,0.24,4
264,870,845,8,30,30,600,24,0.41,0.34,1.36,0.02,0.015,0.07,0.27,0.1,0,2
212,870,855,8,30,30,650,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,3
306,900,845,8,30,30,650,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,2
398,930,30,0,930,140,160,0.5,0.17,0.28,0.55,0.002,0.016,1.64,0.45,0.05,0.16,4
246,870,845,8,30,30,550,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,3
55,845,845,24,30,30,550,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,2
388,845,845,8,30,30,500,24,0.53,1.31,0.75,0.007,0.003,0.04,0.64,0.06,0.01,4
363,870,845,8,30,30,630,24,0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,3
280,870,845,8,30,30,650,24,0.43,0.26,1.46,0.012,0.017,0.02,0.19,0.02,0,2
85,825,825,24,30,30,550,24,0.54,0.2,0.75,0.013,0.019,0.01,0.01,0.01,0,2
45,865,865,24,30,30,650,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,1
161,870,855,8,30,30,600,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,3
134,870,855,8,30,30,650,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,2
111,825,825,24,30,30,650,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,2
46,865,865,24,30,30,650,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1
101,825,825,24,30,30,600,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,2
22,865,865,24,30,30,550,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,2
128,870,855,8,30,30,600,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,3
76,845,845,24,30,30,650,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,1
178,870,855,8,30,30,650,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,3
164,870,855,8,30,30,600,24,0.38,0.27,0.8,0.015,0.012,0.07,1.07,0.12,0.16,3
64,845,845,24,30,30,600,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,2
34,865,865,24,30,30,600,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1
402,930,30,0,930,60,160,0.5,0.2,0.32,0.77,0.024,0.028,0.46,0.47,0.2,0.19,4
296,900,845,8,30,30,600,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,3
286,900,845,8,30,30,550,24,0.31,0.22,0.56,0.016,0.016,2.63,0.71,0.1,0,3
194,870,855,8,30,30,550,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,4
75,845,845,24,30,30,650,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,2
221,870,855,8,30,30,650,24,0.4,0.25,0.87,0.011,0.015,0.07,1.06,0.11,0.18,3
124,870,855,8,30,30,600,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,3
131,870,855,8,30,30,650,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,2
12,865,865,24,30,30,550,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,1
89,825,825,24,30,30,550,24,0.56,0.25,0.68,0.009,0.023,0.03,0.1,0.03,0,2
334,870,845,8,30,30,630,24,0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,3
409,930,30,0,930,140,160,0.5,0.23,0.29,0.85,0.011,0.011,0.44,0.6,0.07,0.16,4
242,870,845,8,30,30,650,24,0.4,0.22,1.56,0.011,0.019,0.06,0.09,0.05,0,1
375,845,845,8,30,30,500,24,0.6,1.96,0.85,0.019,0.004,0.05,0.15,0.12,0,4
300,900,845,8,30,30,600,24,0.3,0.27,0.53,0.018,0.008,2.7,0.81,0.07,0,3
357,870,845,8,30,30,580,24,0.45,0.16,0.79,0.009,0.016,1.65,0.73,0.05,0,3
165,870,855,8,30,30,600,24,0.34,0.29,0.71,0.019,0.013,0.11,1.05,0.12,0.16,3
377,845,845,8,30,30,500,24,0.61,2.05,0.86,0.019,0.014,0.16,0.16,0.12,0,4
207,870,855,8,30,30,600,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,3
183,870,855,8,30,30,550,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,3
385,845,845,8,30,30,430,24,0.53,1.31,0.75,0.004,0.004,0.04,0.63,0.06,0.01,4
303,900,845,8,30,30,650,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,2
328,870,845,8,30,30,630,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,3
83,825,825,24,30,30,550,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,2
66,845,845,24,30,30,600,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,2
90,825,825,24,30,30,550,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,3
227,870,845,8,30,30,550,24,0.4,0.25,1.34,0.017,0.015,0.02,0.13,0.02,0,3
53,845,845,24,30,30,550,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,3
106,825,825,24,30,30,650,24,0.56,0.26,0.37,0.019,0.026,0.04,0.13,0.11,0,1
123,870,855,8,30,30,600,24,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,3
78,845,845,24,30,30,650,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,2
200,870,855,8,30,30,600,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,3
10,885,30,0,30,30,30,0,0.22,0.26,0.47,0.021,0.023,0.02,0.02,0.01,0,1
354,870,845,8,30,30,580,24,0.47,0.28,0.72,0.011,0.007,1.76,0.79,0.06,0,4
333,870,845,8,30,30,630,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,3
56,845,845,24,30,30,550,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,3
197,870,855,8,30,30,600,24,0.43,0.26,0.74,0.019,0.012,0.02,1.07,0.02,0.22,3
222,870,855,8,30,30,650,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,3
2,885,30,0,30,30,30,0,0.25,0.18,0.44,0.009,0.017,0.08,0.12,0.08,0,1
320,870,845,8,30,30,580,24,0.41,0.29,0.74,0.013,0.01,1.84,0.74,0.12,0.22,3
373,845,845,8,30,30,430,24,0.59,1.99,0.92,0.027,0.01,0.01,0.15,0.01,0,4
86,825,825,24,30,30,550,24,0.57,0.23,0.74,0.018,0.017,0.01,0.12,0.02,0,3
433,930,30,0,930,140,160,0.5,0.21,0.26,0.65,0.015,0.024,0.02,0.91,0.01,0.15,4
353,870,845,8,30,30,680,24,0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,2
175,870,855,8,30,30,650,24,0.33,0.27,0.69,0.015,0.008,0.04,0.99,0.05,0.18,2
220,870,855,8,30,30,650,24,0.4,0.26,0.74,0.024,0.017,0.13,1.01,0.15,0.17,2
1,885,30,0,30,30,30,0,0.26,0.21,0.44,0.017,0.022,0.01,0.02,0.01,0,1
4,885,30,0,30,30,30,0,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0,1
118,870,855,8,30,30,550,24,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,3
114,870,855,8,30,30,550,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,3
387,845,845,8,30,30,500,24,0.54,1.5,0.69,0.013,0.007,0.02,0.74,0.01,0,4
193,870,855,8,30,30,550,24,0.4,0.25,0.74,0.014,0.028,0.24,0.96,0.1,0.18,4
172,870,855,8,30,30,650,24,0.37,0.23,0.82,0.012,0.017,0.04,1.09,0.05,0.16,2
324,870,845,8,30,30,580,24,0.37,0.29,0.76,0.017,0.01,1.88,0.9,0.03,0.24,4
425,930,30,0,930,60,200,0.5,0.19,0.21,0.77,0.017,0.011,0.12,1.02,0.16,0.05,4
410,930,30,0,930,140,160,0.5,0.18,0.26,0.76,0.009,0.014,0.56,0.62,0.12,0.17,4
81,825,825,24,30,30,550,24,0.55,0.23,0.76,0.018,0.012,0.01,0.09,0.01,0,3
292,900,845,8,30,30,600,24,0.32,0.3,0.49,0.008,0.006,2.66,0.82,0.09,0,3
27,865,865,24,30,30,600,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,1
94,825,825,24,30,30,600,24,0.52,0.29,0.83,0.016,0.025,0.04,0.04,0.02,0,2
307,900,845,8,30,30,650,24,0.33,0.3,0.49,0.009,0.006,2.66,0.82,0.06,0,2
59,845,845,24,30,30,600,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,2
305,900,845,8,30,30,650,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,3
187,870,855,8,30,30,550,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,4
5,885,30,0,30,30,30,0,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,1
325,870,845,8,30,30,580,24,0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,3
213,870,855,8,30,30,650,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,2
120,870,855,8,30,30,550,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,3
215,870,855,8,30,30,650,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,2
132,870,855,8,30,30,650,24,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,2
49,845,845,24,30,30,550,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,2
330,870,845,8,30,30,630,24,0.38,0.26,0.71,0.016,0.017,1.8,0.75,0.04,0.23,3
20,865,865,24,30,30,550,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,2
38,865,865,24,30,30,650,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1
267,870,845,8,30,30,600,24,0.46,0.3,1.49,0.014,0.008,0.1,0.26,0.1,0,3
285,900,845,8,30,30,550,24,0.35,0.26,0.54,0.019,0.003,2.78,0.89,0.05,0,3
13,865,865,24,30,30,550,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,2
202,870,855,8,30,30,600,24,0.37,0.24,0.69,0.018,0.016,0.02,1,0.02,0.19,3
198,870,855,8,30,30,600,24,0.4,0.26,0.77,0.018,0.005,0.05,0.98,0.13,0.17,3
428,930,30,0,930,60,160,0.5,0.18,0.25,0.79,0.016,0.015,0.07,1.08,0.08,0.15,4
244,870,845,8,30,30,650,24,0.38,0.21,1.59,0.017,0.015,0.03,0.2,0.05,0,1
88,825,825,24,30,30,550,24,0.57,0.3,0.82,0.024,0.022,0.02,0.1,0.01,0,3
209,870,855,8,30,30,600,24,0.44,0.26,0.75,0.017,0.012,0.02,1.05,0.02,0.21,3
269,870,845,8,30,30,600,24,0.41,0.22,1.58,0.014,0.018,0.04,0.13,0.05,0,2
154,870,855,8,30,30,600,24,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,3
347,870,845,8,30,30,680,24,0.38,0.26,0.71,0.016,0.008,1.66,0.72,0.12,0.16,2
248,870,845,8,30,30,550,24,0.42,0.21,1.6,0.014,0.015,0.03,0.12,0.07,0,2
174,870,855,8,30,30,650,24,0.35,0.25,0.71,0.02,0.013,0.02,1.06,0.02,0.17,2
210,870,855,8,30,30,650,24,0.41,0.24,0.77,0.014,0.015,0.04,1.06,0.05,0.2,2
185,870,855,8,30,30,550,24,0.41,0.25,0.74,0.013,0.019,0.05,0.99,0.08,0.16,3
309,900,845,8,30,30,650,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,2
418,930,30,0,930,60,160,0.5,0.23,0.2,0.8,0.013,0.018,0.04,1.14,0.07,0.02,4
122,870,855,8,30,30,600,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,3
400,930,30,0,930,60,200,0.5,0.23,0.35,0.51,0.008,0.012,1.69,0.55,0.11,0.18,4
238,870,845,8,30,30,600,24,0.4,0.25,1.38,0.017,0.012,0.02,0.03,0.02,0,2
283,900,845,8,30,30,550,24,0.32,0.24,0.58,0.009,0.01,2.65,0.71,0.06,0,3
326,870,845,8,30,30,630,24,0.39,0.19,0.77,0.01,0.012,1.67,0.72,0.07,0.18,3
